OrderID,Date,Product,Category,Quantity,Price,Customer,Region
1081,2023-09-05,Headphones,Audio,1,1181,Customer_1,East
1082,2023-09-08,Mouse,Accessories,6,659,Customer_25,West
1083,2023-09-11,Headphones,Audio,1,3443,Customer_39,West
1084,2023-09-14,Headphones,Audio,6,2394,Customer_3,West
1085,2023-09-18,Smartwatch,Electronics,3,2844,Customer_29,South
1086,2023-09-21,Headphones,Audio,1,2241,Customer_46,South
1087,2023-09-24,Monitor,Electronics,5,3059,Customer_26,South
1088,2023-09-27,Headphones,Audio,7,1735,Customer_33,South
1089,2023-09-30,Headphones,Audio,7,2949,Customer_31,South
1090,2023-10-03,Smartwatch,Electronics,3,2589,Customer_32,North
1091,2023-10-06,Tablet,Electronics,5,4711,Customer_16,West
1092,2023-10-09,Charger,Accessories,2,4692,Customer_28,West
1093,2023-10-12,Monitor,Electronics,8,2031,Customer_50,East
1094,2023-10-15,Laptop,Electronics,1,2838,Customer_43,North
1095,2023-10-18,Keyboard,Accessories,1,4013,Customer_43,West
1096,2023-10-21,Mouse,Accessories,3,853,Customer_35,East
1097,2023-10-24,Laptop,Electronics,8,1725,Customer_34,East
1098,2023-10-27,Speaker,Audio,7,3367,Customer_50,North
1099,2023-10-30,Tablet,Electronics,4,828,Customer_21,North
1100,2023-11-02,Speaker,Audio,4,3565,Customer_37,North
1101,2023-11-05,Tablet,Electronics,3,1222,Customer_48,West
1102,2023-11-09,Mouse,Accessories,1,2243,Customer_24,East
1103,2023-11-12,Headphones,Audio,1,3866,Customer_13,East
1104,2023-11-15,Speaker,Audio,3,4052,Customer_20,West
1105,2023-11-18,Speaker,Audio,6,4592,Customer_19,North
1106,2023-11-21,Monitor,Electronics,9,4271,Customer_9,East
1107,2023-11-24,Monitor,Electronics,3,3677,Customer_47,West
1108,2023-11-27,Headphones,Audio,5,4591,Customer_25,West
1109,2023-11-30,Headphones,Audio,4,3736,Customer_23,West
1110,2023-12-03,Speaker,Audio,7,2256,Customer_42,South
1111,2023-12-06,Charger,Accessories,5,832,Customer_43,East
1112,2023-12-09,Mouse,Accessories,9,1053,Customer_44,North
1113,2023-12-12,Phone,Electronics,7,1291,Customer_42,North
1114,2023-12-15,Mouse,Accessories,2,1640,Customer_29,North
1115,2023-12-18,Phone,Electronics,3,3819,Customer_48,North
1116,2023-12-21,Laptop,Electronics,6,599,Customer_17,East
1117,2023-12-24,Charger,Accessories,9,1424,Customer_4,West
1118,2023-12-27,Phone,Electronics,3,3023,Customer_39,East
1119,2023-12-31,Smartwatch,Electronics,3,4234,Customer_3,North
